,Time,Open,High,Low,Close,Volume
203,2014-10-01T12:38:00+0530,218.03,218.13,217.93,217.93,1218
204,2014-10-01T12:39:00+0530,217.95,217.95,217.83,217.83,5475
205,2014-10-01T12:40:00+0530,217.9,218,217.83,217.95,3243
206,2014-10-01T12:41:00+0530,217.87,217.93,217.79,217.93,2268
207,2014-10-01T12:42:00+0530,217.85,218.89,217.85,218.55,15279
208,2014-10-01T12:43:00+0530,218.52,218.77,218.52,218.62,3294
209,2014-10-01T12:44:00+0530,218.52,218.75,218.39,218.62,4182
210,2014-10-01T12:45:00+0530,218.82,218.83,218.6,218.63,4260
211,2014-10-01T12:46:00+0530,218.63,219.39,218.63,219.02,15840
212,2014-10-01T12:47:00+0530,219.02,219.13,218.9,219.02,2802
213,2014-10-01T12:48:00+0530,219.17,219.17,218.55,218.67,8562
214,2014-10-01T12:49:00+0530,218.67,219.07,218.53,219.07,2163
215,2014-10-01T12:50:00+0530,219,219.27,218.95,218.95,6453
216,2014-10-01T12:51:00+0530,218.95,218.97,218.83,218.95,687
217,2014-10-01T12:52:00+0530,218.95,218.95,218.79,218.8,1389
218,2014-10-01T12:53:00+0530,218.8,218.82,218.52,218.6,3819
219,2014-10-01T12:54:00+0530,218.65,218.87,218.59,218.87,3171
220,2014-10-01T12:55:00+0530,218.87,219.2,218.83,219.03,12177
221,2014-10-01T12:56:00+0530,219.05,219.27,218.92,219.05,5028
222,2014-10-01T12:57:00+0530,219.23,219.37,219.05,219.32,5916
223,2014-10-01T12:58:00+0530,219.27,219.32,219.19,219.19,1032
224,2014-10-01T12:59:00+0530,219.17,219.17,219.05,219.09,1041
225,2014-10-01T13:00:00+0530,219.09,219.19,219.07,219.19,3342
226,2014-10-01T13:01:00+0530,219.19,219.19,219.1,219.1,1230
227,2014-10-01T13:02:00+0530,219.1,219.17,219.1,219.1,1116
228,2014-10-01T13:03:00+0530,219.15,219.15,219.09,219.09,639
229,2014-10-01T13:04:00+0530,219.09,219.17,219.05,219.17,2310
230,2014-10-01T13:05:00+0530,219.3,219.3,219.12,219.15,1506
231,2014-10-01T13:06:00+0530,219.3,219.32,219.19,219.19,1899
232,2014-10-01T13:07:00+0530,219.19,219.43,219.19,219.39,5664
233,2014-10-01T13:08:00+0530,219.42,219.5,219.19,219.19,3999
234,2014-10-01T13:09:00+0530,219.2,219.32,219.19,219.19,417
235,2014-10-01T13:10:00+0530,219.27,219.27,218.92,218.92,4065
236,2014-10-01T13:11:00+0530,219.02,219.17,218.93,219.05,5709
