,Time,Open,High,Low,Close,Volume
0,2014-03-03T09:15:00+0530,667,669,663.65,665.55,6900
1,2014-03-03T09:16:00+0530,665,665.7,664.3,665.7,3165
2,2014-03-03T09:17:00+0530,666.1,668.4,666.1,667.85,3976
3,2014-03-03T09:18:00+0530,667.1,667.65,665.05,665.05,2785
4,2014-03-03T09:19:00+0530,665.15,666.3,665.15,666.3,2102
5,2014-03-03T09:20:00+0530,666.3,666.5,664.8,664.85,2651
6,2014-03-03T09:21:00+0530,665.05,666.85,665.05,665.95,2079
7,2014-03-03T09:22:00+0530,666,667.8,666,667.05,2572
8,2014-03-03T09:23:00+0530,667,668,667,667.95,640
9,2014-03-03T09:24:00+0530,668,668,667.55,667.55,1569
10,2014-03-03T09:25:00+0530,667.25,667.65,667.05,667.05,118
11,2014-03-03T09:26:00+0530,667.1,667.5,667,667.35,1502
12,2014-03-03T09:27:00+0530,666.85,667.25,666.85,666.95,772
13,2014-03-03T09:28:00+0530,667,667.4,666.8,667.35,866
14,2014-03-03T09:29:00+0530,667.35,667.35,666.7,666.7,658
15,2014-03-03T09:30:00+0530,666.7,666.75,666.25,666.75,447
16,2014-03-03T09:31:00+0530,667,667.55,667,667.55,1512
17,2014-03-03T09:32:00+0530,667.1,667.65,667.1,667.25,554
18,2014-03-03T09:33:00+0530,667.25,667.7,667.25,667.65,518
19,2014-03-03T09:34:00+0530,667.4,667.65,667,667.4,551
20,2014-03-03T09:35:00+0530,667.35,667.5,667.05,667.05,363
21,2014-03-03T09:36:00+0530,667.05,667.1,666.5,667.1,3488
22,2014-03-03T09:37:00+0530,667.1,667.45,666.9,667,1120
23,2014-03-03T09:38:00+0530,667.4,667.4,666.5,666.5,1076
24,2014-03-03T09:39:00+0530,666.65,666.75,666.25,666.75,196
25,2014-03-03T09:40:00+0530,666.4,667,666.4,667,219
26,2014-03-03T09:41:00+0530,667.5,667.6,666.9,667.45,1574
27,2014-03-03T09:42:00+0530,667.35,667.6,666.3,667.4,3541
28,2014-03-03T09:43:00+0530,667.35,667.9,667.35,667.35,557
29,2014-03-03T09:44:00+0530,667.9,667.9,667.2,667.8,88
30,2014-03-03T09:45:00+0530,667.8,668,667.45,667.95,2051
31,2014-03-03T09:46:00+0530,667.95,667.95,667.25,667.85,874
32,2014-03-03T09:47:00+0530,667.8,668,666.95,667.6,2043
33,2014-03-03T09:48:00+0530,667.7,667.95,667.55,667.95,176
34,2014-03-03T09:49:00+0530,667.8,667.8,667.5,667.5,490
35,2014-03-03T09:50:00+0530,667.1,667.75,667.1,667.55,982
36,2014-03-03T09:51:00+0530,667.8,667.9,667.35,667.8,97
37,2014-03-03T09:52:00+0530,667.8,667.95,667.55,667.9,315
38,2014-03-03T09:53:00+0530,667.95,668,667.45,667.75,1498
39,2014-03-03T09:54:00+0530,667.8,668.1,667.45,667.8,673
40,2014-03-03T09:55:00+0530,668,668,667.3,667.7,1328
41,2014-03-03T09:56:00+0530,667.3,667.9,667.3,667.6,372
42,2014-03-03T09:57:00+0530,667.7,668.1,667.35,668,3520
43,2014-03-03T09:58:00+0530,667.95,668.35,667.7,668.35,2184
44,2014-03-03T09:59:00+0530,668.35,668.9,667.95,668.85,2001
45,2014-03-03T10:00:00+0530,668.95,669.5,668.55,669.5,4671
46,2014-03-03T10:01:00+0530,670,670.1,669.75,669.75,7011
47,2014-03-03T10:02:00+0530,669.75,669.95,669.5,669.8,1789
48,2014-03-03T10:03:00+0530,669.8,670,669.75,670,1339
49,2014-03-03T10:04:00+0530,670,670,669.5,670,677
50,2014-03-03T10:05:00+0530,670,670.25,669.6,669.9,5771
51,2014-03-03T10:06:00+0530,669.95,670,669.8,669.95,461
52,2014-03-03T10:07:00+0530,670,670.35,669.9,670.35,4173
53,2014-03-03T10:08:00+0530,670.35,672,669.95,671.7,4986
54,2014-03-03T10:09:00+0530,671.85,672,670.7,671,6804
55,2014-03-03T10:10:00+0530,671,671,670.9,670.9,2067
56,2014-03-03T10:11:00+0530,670.9,670.9,669.5,670,6104
57,2014-03-03T10:12:00+0530,670,670,669.5,669.65,887
58,2014-03-03T10:13:00+0530,669.8,670,669.65,670,390
59,2014-03-03T10:14:00+0530,670,670,669.35,669.85,5990
60,2014-03-03T10:15:00+0530,670,670,669.6,669.8,870
61,2014-03-03T10:16:00+0530,669.85,670,669.6,670,1074
62,2014-03-03T10:17:00+0530,670,670,669.6,669.85,1269
63,2014-03-03T10:18:00+0530,669.9,670,669.8,670,2763
64,2014-03-03T10:19:00+0530,670,670,668.95,669,8392
65,2014-03-03T10:20:00+0530,668.9,669.65,668.9,669.55,1748
66,2014-03-03T10:21:00+0530,669.55,669.65,669.25,669.65,650
67,2014-03-03T10:22:00+0530,669.55,669.6,669,669.5,1003
68,2014-03-03T10:23:00+0530,669.3,669.45,669.25,669.25,320
69,2014-03-03T10:24:00+0530,669.25,670,669.25,670,2504
70,2014-03-03T10:25:00+0530,669.95,669.95,669.7,669.95,893
71,2014-03-03T10:26:00+0530,669.95,669.95,669.7,669.75,874
72,2014-03-03T10:27:00+0530,669.65,669.95,669.65,669.65,210
73,2014-03-03T10:28:00+0530,669.95,669.95,669.9,669.9,90
74,2014-03-03T10:29:00+0530,669.9,669.9,669.25,669.5,3464
75,2014-03-03T10:30:00+0530,669.4,669.5,669.25,669.3,142
76,2014-03-03T10:31:00+0530,669.5,669.5,669.3,669.3,54
77,2014-03-03T10:32:00+0530,669.45,669.45,668.8,669.1,906
78,2014-03-03T10:33:00+0530,669.5,669.5,668.85,668.9,7973
79,2014-03-03T10:34:00+0530,668.95,669.25,668.8,668.8,1329
80,2014-03-03T10:35:00+0530,668.8,669.2,668.7,668.8,1295
81,2014-03-03T10:36:00+0530,669.25,669.3,668.75,669,1122
82,2014-03-03T10:37:00+0530,669.5,669.5,669,669,1005
83,2014-03-03T10:38:00+0530,669,669.5,669,669.1,200
84,2014-03-03T10:39:00+0530,669.2,669.3,668.8,668.8,1423
85,2014-03-03T10:40:00+0530,669.3,669.3,668.95,669.3,302
86,2014-03-03T10:41:00+0530,669.3,669.35,668.9,669,1469
87,2014-03-03T10:42:00+0530,669,669,669,669,1560
88,2014-03-03T10:43:00+0530,669,669,668.75,669,1008
89,2014-03-03T10:44:00+0530,668.75,669,668.75,668.8,1579
90,2014-03-03T10:45:00+0530,668.8,669,668.8,668.8,554
91,2014-03-03T10:46:00+0530,669,669,668.6,668.6,3047
92,2014-03-03T10:47:00+0530,668.55,669,668.55,668.85,1636
93,2014-03-03T10:48:00+0530,668.6,668.95,668.6,668.9,1026
94,2014-03-03T10:49:00+0530,668.85,669.45,668.85,669,2103
95,2014-03-03T10:50:00+0530,669.15,669.15,668.5,668.95,1693
96,2014-03-03T10:51:00+0530,668.65,668.8,668.2,668.35,103451
97,2014-03-03T10:52:00+0530,668.65,668.65,668.05,668.05,577
98,2014-03-03T10:53:00+0530,668.1,668.35,668.1,668.3,2389
99,2014-03-03T10:54:00+0530,668,668,667.25,667.5,3098
100,2014-03-03T10:55:00+0530,667.65,667.75,667.25,667.3,1835
101,2014-03-03T10:56:00+0530,667.65,667.7,667.35,667.4,1102
102,2014-03-03T10:57:00+0530,667.3,667.85,667.25,667.85,1359
103,2014-03-03T10:58:00+0530,667.7,668.3,667.7,668,1025
104,2014-03-03T10:59:00+0530,667.7,668,667.25,667.8,1745
105,2014-03-03T11:00:00+0530,668.05,668.05,667.85,667.95,531
106,2014-03-03T11:01:00+0530,667.85,668.05,667.75,667.8,286
107,2014-03-03T11:02:00+0530,668.2,668.65,667.85,668.25,3457
108,2014-03-03T11:03:00+0530,668.2,669.25,668.1,669.25,5010
109,2014-03-03T11:04:00+0530,669.35,669.35,667.85,668.55,2168
110,2014-03-03T11:05:00+0530,668.5,668.6,667.6,668.45,2097
111,2014-03-03T11:06:00+0530,668.3,668.45,668.25,668.3,922
112,2014-03-03T11:07:00+0530,668.2,668.9,668.05,668.5,1762
113,2014-03-03T11:08:00+0530,668.65,668.9,668.5,668.7,741
114,2014-03-03T11:09:00+0530,668.7,668.7,668.2,668.7,641
115,2014-03-03T11:10:00+0530,668.7,668.9,668.4,668.4,753
116,2014-03-03T11:11:00+0530,668.9,668.95,668.9,668.95,312
