CompanyName,Time,Open,High,Low,Close,Volume
HCL TECHNOLOGIES,2014-03-03T09:15:00+0530,787.78,787.78,783.23,783.23,34528
HCL TECHNOLOGIES,2014-03-03T09:16:00+0530,783.03,783.03,781.45,782.78,14226
HCL TECHNOLOGIES,2014-03-03T09:17:00+0530,782.68,783.35,780.03,780.03,11604
HCL TECHNOLOGIES,2014-03-03T09:18:00+0530,780.03,780.03,778.23,778.43,10142
HCL TECHNOLOGIES,2014-03-03T09:19:00+0530,778.5,781.08,778.23,779,19158
HCL TECHNOLOGIES,2014-03-03T09:20:00+0530,779.05,779.05,777.78,778.73,12406
HCL TECHNOLOGIES,2014-03-03T09:21:00+0530,778.75,780,778.75,779.03,13076
HCL TECHNOLOGIES,2014-03-03T09:22:00+0530,778.98,779.55,778.93,779.03,7846
HCL TECHNOLOGIES,2014-03-03T09:23:00+0530,779,779.13,778.18,778.6,8114
HCL TECHNOLOGIES,2014-03-03T09:24:00+0530,778.55,778.55,777.33,777.33,5514
HCL TECHNOLOGIES,2014-03-03T09:25:00+0530,777,778.98,776.65,778.78,11588
HCL TECHNOLOGIES,2014-03-03T09:26:00+0530,778.25,778.25,777.28,778,9630
HCL TECHNOLOGIES,2014-03-03T09:27:00+0530,777.68,777.9,777.03,777.03,8246
HCL TECHNOLOGIES,2014-03-03T09:28:00+0530,777.08,777.08,776.53,777.08,6422
HCL TECHNOLOGIES,2014-03-03T09:29:00+0530,777.18,778.8,777.15,777.55,10220
HCL TECHNOLOGIES,2014-03-03T09:30:00+0530,777.78,779,777.33,777.93,11394
HCL TECHNOLOGIES,2014-03-03T09:31:00+0530,777.8,779.23,777.8,779.23,4374
HCL TECHNOLOGIES,2014-03-03T09:32:00+0530,778.93,778.93,778.53,778.53,4522
HCL TECHNOLOGIES,2014-03-03T09:33:00+0530,778.53,779.8,778.3,779.7,10568
HCL TECHNOLOGIES,2014-03-03T09:34:00+0530,779.78,779.78,778.78,778.8,6726
HCL TECHNOLOGIES,2014-03-03T09:35:00+0530,778.78,780.13,778.23,779.05,45846
HCL TECHNOLOGIES,2014-03-03T09:36:00+0530,779,779.58,778.23,778.95,12400
HCL TECHNOLOGIES,2014-03-03T09:37:00+0530,778.58,780.13,778.23,779.68,13164
HCL TECHNOLOGIES,2014-03-03T09:38:00+0530,779.63,779.88,778.7,778.7,6676
HCL TECHNOLOGIES,2014-03-03T09:39:00+0530,778.85,779,778.63,778.7,7436
HCL TECHNOLOGIES,2014-03-03T09:40:00+0530,778.7,779.65,778.03,779.28,20284
HCL TECHNOLOGIES,2014-03-03T09:41:00+0530,779.25,781.68,779.25,780.8,10242
HCL TECHNOLOGIES,2014-03-03T09:42:00+0530,780.88,781.4,779.8,779.8,12472
HCL TECHNOLOGIES,2014-03-03T09:43:00+0530,779.63,779.7,778.8,778.8,5518
HCL TECHNOLOGIES,2014-03-03T09:44:00+0530,778.85,779.33,778.45,778.73,8286
HCL TECHNOLOGIES,2014-03-03T09:45:00+0530,778.7,779,778.53,778.7,5096
HCL TECHNOLOGIES,2014-03-03T09:46:00+0530,778.68,778.93,778.55,778.93,9182
HCL TECHNOLOGIES,2014-03-03T09:47:00+0530,778.68,778.8,778.3,778.58,8432
HCL TECHNOLOGIES,2014-03-03T09:48:00+0530,778.63,778.8,778.3,778.33,7900
HCL TECHNOLOGIES,2014-03-03T09:49:00+0530,778.3,778.3,777.55,777.58,14706
HCL TECHNOLOGIES,2014-03-03T09:50:00+0530,777.55,777.55,777.2,777.28,16562
HCL TECHNOLOGIES,2014-03-03T09:51:00+0530,777.28,777.3,775.18,775.2,16684
HCL TECHNOLOGIES,2014-03-03T09:52:00+0530,775,775.08,772,772.98,39214
HCL TECHNOLOGIES,2014-03-03T09:53:00+0530,772.98,773.28,772.55,772.85,22204
HCL TECHNOLOGIES,2014-03-03T09:54:00+0530,772.7,772.78,772.03,772.53,17238
HCL TECHNOLOGIES,2014-03-03T09:55:00+0530,772.55,772.55,771.28,771.38,19608
HCL TECHNOLOGIES,2014-03-03T09:56:00+0530,771.25,771.28,770.53,771.18,30210
HCL TECHNOLOGIES,2014-03-03T09:57:00+0530,770.78,771.48,770.75,771.48,14396
HCL TECHNOLOGIES,2014-03-03T09:58:00+0530,771.43,771.7,771.08,771.13,17532
HCL TECHNOLOGIES,2014-03-03T09:59:00+0530,771.08,771.13,770.05,770.63,29784
HCL TECHNOLOGIES,2014-03-03T10:00:00+0530,770.55,771.35,770.55,771.35,16572
HCL TECHNOLOGIES,2014-03-03T10:01:00+0530,771.25,771.75,771.25,771.28,15806
HCL TECHNOLOGIES,2014-03-03T10:02:00+0530,771.28,771.9,771.13,771.35,16820
HCL TECHNOLOGIES,2014-03-03T10:03:00+0530,771.3,772.13,771.3,771.7,15822
HCL TECHNOLOGIES,2014-03-03T10:04:00+0530,771.63,772,771.1,771.1,15138
HCL TECHNOLOGIES,2014-03-03T10:05:00+0530,771.15,771.15,769.5,769.58,35552
HCL TECHNOLOGIES,2014-03-03T10:06:00+0530,769.43,769.43,768.68,768.9,48080
HCL TECHNOLOGIES,2014-03-03T10:07:00+0530,768.9,770,768.85,769.6,10520
HCL TECHNOLOGIES,2014-03-03T10:08:00+0530,769.58,769.95,769.15,769.68,8952
HCL TECHNOLOGIES,2014-03-03T10:09:00+0530,769.68,769.73,768.95,769.1,7460
HCL TECHNOLOGIES,2014-03-03T10:10:00+0530,769.1,769.5,768.88,768.88,13106
HCL TECHNOLOGIES,2014-03-03T10:11:00+0530,768.95,768.95,768.48,768.65,12266
HCL TECHNOLOGIES,2014-03-03T10:12:00+0530,768.63,768.95,768.6,768.7,8016
HCL TECHNOLOGIES,2014-03-03T10:13:00+0530,768.6,768.85,768.35,768.78,11002
HCL TECHNOLOGIES,2014-03-03T10:14:00+0530,768.78,768.78,767.83,767.83,8574
HCL TECHNOLOGIES,2014-03-03T10:15:00+0530,768.03,768.15,767.63,768.03,9214
HCL TECHNOLOGIES,2014-03-03T10:16:00+0530,768.03,768.35,768,768.13,7226
HCL TECHNOLOGIES,2014-03-03T10:17:00+0530,767.83,768.35,767.83,768.18,8742
HCL TECHNOLOGIES,2014-03-03T10:18:00+0530,768.18,768.25,768.03,768.05,2344
HCL TECHNOLOGIES,2014-03-03T10:19:00+0530,768.03,768.05,767.3,767.4,10140
HCL TECHNOLOGIES,2014-03-03T10:20:00+0530,767.3,769.13,767.25,769.13,12260
HCL TECHNOLOGIES,2014-03-03T10:21:00+0530,769.3,770.68,769.3,770.68,15974
HCL TECHNOLOGIES,2014-03-03T10:22:00+0530,770.35,770.83,770.35,770.78,6422
HCL TECHNOLOGIES,2014-03-03T10:23:00+0530,770.8,770.8,769.9,769.9,7392
HCL TECHNOLOGIES,2014-03-03T10:24:00+0530,769.9,769.95,769,769.15,7368
HCL TECHNOLOGIES,2014-03-03T10:25:00+0530,769,769.88,768.85,769.43,7910
HCL TECHNOLOGIES,2014-03-03T10:26:00+0530,769.18,769.28,768.98,769.08,7836
HCL TECHNOLOGIES,2014-03-03T10:27:00+0530,769.08,769.15,768.98,769.1,5720
HCL TECHNOLOGIES,2014-03-03T10:28:00+0530,769.1,769.25,769,769,6242
HCL TECHNOLOGIES,2014-03-03T10:29:00+0530,769,769.05,768.68,768.68,6600
HCL TECHNOLOGIES,2014-03-03T10:30:00+0530,768.68,768.68,767.1,767.35,19892
HCL TECHNOLOGIES,2014-03-03T10:31:00+0530,767.28,767.3,766,766,20902
HCL TECHNOLOGIES,2014-03-03T10:32:00+0530,766.25,766.78,766.08,766.48,9456
HCL TECHNOLOGIES,2014-03-03T10:33:00+0530,766.45,766.48,765.45,765.78,11454
HCL TECHNOLOGIES,2014-03-03T10:34:00+0530,766,766.35,766,766.18,4956
HCL TECHNOLOGIES,2014-03-03T10:35:00+0530,766.13,766.68,766.13,766.25,7938
HCL TECHNOLOGIES,2014-03-03T10:36:00+0530,766.2,766.2,765.6,765.93,7978
HCL TECHNOLOGIES,2014-03-03T10:37:00+0530,765.85,766.33,765.5,766.23,10318
HCL TECHNOLOGIES,2014-03-03T10:38:00+0530,766.2,766.43,766,766.13,7820
HCL TECHNOLOGIES,2014-03-03T10:39:00+0530,766.08,766.13,765.7,766.03,10420
HCL TECHNOLOGIES,2014-03-03T10:40:00+0530,766.03,767.65,766.03,767.38,7722
HCL TECHNOLOGIES,2014-03-03T10:41:00+0530,767.38,767.53,767,767.5,8062
HCL TECHNOLOGIES,2014-03-03T10:42:00+0530,767.4,767.55,767.08,767.13,4884
HCL TECHNOLOGIES,2014-03-03T10:43:00+0530,767.05,767.08,766.48,766.55,10436
HCL TECHNOLOGIES,2014-03-03T10:44:00+0530,766.55,766.95,766.48,766.53,7106
HCL TECHNOLOGIES,2014-03-03T10:45:00+0530,766.53,766.6,766.28,766.28,5164
HCL TECHNOLOGIES,2014-03-03T10:46:00+0530,766.28,766.28,765.68,765.68,7786
HCL TECHNOLOGIES,2014-03-03T10:47:00+0530,765.7,766.6,765.7,766.5,4494
HCL TECHNOLOGIES,2014-03-03T10:48:00+0530,766.3,766.55,765.83,765.85,8292
HCL TECHNOLOGIES,2014-03-03T10:49:00+0530,765.93,766.25,765.78,766.25,6126
HCL TECHNOLOGIES,2014-03-03T10:50:00+0530,766,766,765.23,765.38,6552
HCL TECHNOLOGIES,2014-03-03T10:51:00+0530,765.23,765.7,764.65,765.5,17074
HCL TECHNOLOGIES,2014-03-03T10:52:00+0530,765.7,766.13,765.03,765.25,9238
HCL TECHNOLOGIES,2014-03-03T10:53:00+0530,765,765.15,764.55,764.73,13620
HCL TECHNOLOGIES,2014-03-03T10:54:00+0530,764.58,764.95,764.53,764.93,9896
HCL TECHNOLOGIES,2014-03-03T10:55:00+0530,764.83,764.88,762.55,762.98,26676
HCL TECHNOLOGIES,2014-03-03T10:56:00+0530,762.75,763.48,762.5,762.7,20370
HCL TECHNOLOGIES,2014-03-03T10:57:00+0530,762.63,762.68,760.9,762.38,29992
HCL TECHNOLOGIES,2014-03-03T10:58:00+0530,762.5,764.5,762.25,764,24298
HCL TECHNOLOGIES,2014-03-03T10:59:00+0530,763.45,763.7,762.78,763.55,5384
HCL TECHNOLOGIES,2014-03-03T11:00:00+0530,763.43,763.6,763.05,763.3,6100
HCL TECHNOLOGIES,2014-03-03T11:01:00+0530,763.03,763.18,762.55,762.55,6688
HCL TECHNOLOGIES,2014-03-03T11:02:00+0530,762.58,762.58,762.38,762.5,9124
