Time,Title,Day,MeanVol-30,StddevVol-30,MeanVol+30
2015-07-30T14:11:00,"['Bank of Baroda Q1 net down 23% at Rs 1,052 cr on bad loans, wage revision']",Thursday,87371.0,111649.06682637344,26744.1
2015-09-04T10:45:00,['Sell Bank of Baroda with a target of Rs 160: Mitesh Thacker'],Friday,18938.566666666666,9792.080901365596,27056.5
2015-09-24T14:36:00,['Bank of Baroda launches loan product under PMs Mudra Yojana'],Thursday,10526.766666666666,5403.495231072405,42596.86666666667
2015-10-12T11:21:00,"['Number of Rs 6,000 crore higher than what preliminary investigations indicate: BB Joshi, Bank of Baroda']",Monday,18877.533333333333,12987.761874763317,14241.0
2015-10-12T11:50:00,['More CBI raids over Bank of Baroda money transfer'],Monday,13768.8,9611.134908358461,16101.866666666667
2015-10-12T13:34:00,"['Suspected black money much less than Rs 6,100 crore: Bank of Baroda']",Monday,54495.4,69809.02078843393,24777.566666666666
2015-10-13T14:28:00,['P S Jayakumar takes over as MD & CEO of Bank of Baroda'],Tuesday,11638.7,7029.809836925415,11300.866666666667
2015-10-15T14:41:00,['Finance Ministry wants CBI to fast-track Bank of Baroda fraud case'],Thursday,32750.6,29767.101993755903,33520.3
2015-10-15T14:41:00,['Finance Ministry wants CBI to fast-track Bank of Baroda fraud case'],Thursday,32750.6,29767.101993755903,33520.3
2015-10-23T12:50:00,"['Money Laundering: Bank of Baroda, OBC cases bring spotlight back on legal hawala']",Friday,8656.333333333334,5194.364749953123,11311.166666666666
2015-11-23T11:12:00,['Rickshaw-pullers & hawkers made directors in Bank of Baroda scam'],Monday,3576.4333333333334,2183.81419666499,13290.333333333334
2015-11-23T11:12:00,['Rickshaw-pullers & hawkers made directors in Bank of Baroda scam'],Monday,3576.4333333333334,2183.81419666499,13290.333333333334
2015-12-09T11:33:00,['Expect Bank of Baroda to climb 40% in 12 months: Sandip Sabharwal'],Wednesday,8742.2,10657.543426762724,7121.133333333333
2015-12-17T14:14:00,"['Bank of Baroda case: CBI files charge-sheet, two former officials named']",Thursday,16914.866666666665,12576.412116162366,14222.766666666666
2016-02-15T10:28:00,"['State-run banks like SBI, Bank of Baroda, Central Bank of India, apprise PM Narendra Modi of rising bad loans']",Monday,60453.0,27647.333195084113,175228.7
