id,number_of_retweets,number_of_favorites,created_at,text
999911695509172225,1,1,2018-05-25 07:15:00,"b'Government seeks $3.8 billion from Reliance, ONGC and Shell.\nhttps://t.co/IyUuZyWAZT https://t.co/hN2nwEDzVj'"
999911512394289152,1,1,2018-05-25 07:14:16,b'Make drugs cheaper by encouraging generics. (Via @bopinion)\nhttps://t.co/EPdHDxgyfE https://t.co/YYJRYRpkQW'
999908040047407105,0,0,2018-05-25 07:00:28,b'Got any stocks or market-related queries? Tweet your questions using #AskBQ. \nWhatsApp | 8291229686\nCall | 022-4540\xe2\x80\xa6 https://t.co/eG4SGTz6Cq'
999907920866369536,0,1,2018-05-25 07:00:00,"b'Should powerful tech firms do more to help protect people from potential government abuse, asks @ShiraOvide.\xe2\x80\xa6 https://t.co/Sr9emZGHSy'"
999907785071460352,5,5,2018-05-25 06:59:28,"b""Congress' Ramesh Kumar elected as Speaker of #Karnataka Assembly.\n(Image Credit: @ANI) \nhttps://t.co/uAJw8gWMNi https://t.co/8TuWjLFdJC"""
999907060086009857,6,13,2018-05-25 06:56:35,b'TCS is India\xe2\x80\x99s first company to cross Rs 7 lakh crore in market value.\nhttps://t.co/5XksNstUYd https://t.co/U57yQZt8KZ'
999904145942466560,1,3,2018-05-25 06:45:00,b'U.S. could now slap fresh tariffs on foreign vehicles.\nhttps://t.co/SSf7WYpZvD https://t.co/V2eVGVo3i4'
999902765810835457,0,1,2018-05-25 06:39:31,b'Avocados on everything? Restaurants capitalise on rising supply.\nhttps://t.co/PHIQRaRckm https://t.co/2y3VxCLCzj'
999901629364162560,1,2,2018-05-25 06:35:00,"b'#4YearsOfModi | Interest rates, both policy rates and market rates, in the economy have declined.\xe2\x80\xa6 https://t.co/XMEE9ihtFf'"
999901314749378565,3,4,2018-05-25 06:33:45,b'Hot Money #BQLive\n- Is there more downside for Jet Airways?\n- Kaveri Seeds: Pabrai buys; Decent results. Is there v\xe2\x80\xa6 https://t.co/zP8JCmRiOO'
